    0.000000 start
    4.338944 read initial snapshot
  702.742817 have memory trace of crashed thread
  702.745099 built rip trace
  702.745144 have proximal cause
  702.745245 built cmn for {}9:c822b0
  702.745254 rendered cmn for {}9:c822b0
  702.745795 built cmn for {}9:c822a4
  702.745807 rendered cmn for {}9:c822a4
  702.745887 built cmn for {}9:c8229c
  702.745908 rendered cmn for {}9:c8229c
  702.745988 built cmn for {c8229c;}9:7f860d344ed1
  702.746000 rendered cmn for {c8229c;}9:7f860d344ed1
  702.746058 built cmn for {c8229c;}9:7f860d344eca
  702.746071 rendered cmn for {c8229c;}9:7f860d344eca
  702.746145 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  702.746158 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd7
  702.746286 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  702.746299 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd6
  702.746393 built cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  702.746406 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acd2
  702.746512 built cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  702.746525 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acce
  702.746635 built cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  702.746647 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acca
  702.746763 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  702.746774 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc6
  702.746906 built cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  702.746917 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acc2
  702.746961 built cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  702.746972 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acbf
  702.747030 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  702.747041 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf9
  702.747087 built cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  702.747098 rendered cmn for {7f860d344eca;c8229c;}9:7f860d33acf6
  702.747177 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  702.747188 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f9
  702.747274 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  702.747285 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9f2
  702.747377 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  702.747388 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9ea
  702.747492 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  702.747503 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9e2
  702.747671 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  702.747683 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9da
  702.747806 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9d2
  702.747818 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9d2
  702.747867 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9cf
  702.747878 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9cf
  702.747928 built cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9b8
  702.747938 rendered cmn for {7f860d33acf6;7f860d344eca;c8229c;}9:7f860d33f9b8
  702.748080 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1653
  702.748092 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1653
  702.748232 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164f
  702.748244 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164f
  702.748563 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164d
  702.748576 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164d
  702.748638 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164b
  702.748649 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a164b
  702.750314 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1649
  702.750335 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1649
  702.750426 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1647
  702.750450 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1647
  702.750549 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1644
  702.750561 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1644
  702.750667 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a163b
  702.750679 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a163b
  702.750795 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1637
  702.750807 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1637
  702.750928 built cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1634
  702.750940 rendered cmn for {7f860d33f9b8;7f860d33acf6;7f860d344eca;c8229c;}9:7f86132a1634
